expiry,option_type,strike,bid,ask,last,volume,openInterest,mid_price,mid_price_source
2026-06-26,put,370.0,0.0,0.0,58.3,,0,58.3,last_price_fallback
2026-06-26,put,375.0,0.0,0.0,64.0,1.0,0,64.0,last_price_fallback
2026-06-26,put,380.0,0.0,0.0,68.42,,0,68.42,last_price_fallback
2026-06-29,call,220.0,0.0,0.0,78.28,,0,78.28,last_price_fallback
2026-06-29,call,230.0,0.0,0.0,69.0,2.0,0,69.0,last_price_fallback
2026-06-29,call,250.0,0.0,0.0,49.01,2.0,0,49.01,last_price_fallback
2026-06-29,call,265.0,0.0,0.0,30.66,,0,30.66,last_price_fallback
2026-06-29,call,267.5,0.0,0.0,30.5,184.0,0,30.5,last_price_fallback
2026-06-29,call,270.0,0.0,0.0,29.44,80.0,0,29.44,last_price_fallback
2026-06-29,call,272.5,0.0,0.0,24.86,120.0,0,24.86,last_price_fallback
2026-06-29,call,275.0,0.0,0.0,24.52,81.0,0,24.52,last_price_fallback
2026-06-29,call,277.5,0.0,0.0,19.98,120.0,0,19.98,last_price_fallback
2026-06-29,call,280.0,0.0,0.0,21.22,193.0,0,21.22,last_price_fallback
2026-06-29,call,282.5,0.0,0.0,18.82,192.0,0,18.82,last_price_fallback
2026-06-29,call,285.0,0.0,0.0,13.83,204.0,0,13.83,last_price_fallback
2026-06-29,call,287.5,0.0,0.0,11.58,215.0,0,11.58,last_price_fallback
2026-06-29,call,290.0,0.0,0.0,8.8,14.0,0,8.8,last_price_fallback
2026-06-29,call,292.5,0.0,0.0,10.3,1.0,0,10.3,last_price_fallback
2026-06-29,call,295.0,0.0,0.0,5.2,79.0,0,5.2,last_price_fallback
2026-06-29,call,297.5,0.0,0.0,3.73,259.0,0,3.73,last_price_fallback
2026-06-29,call,300.0,0.0,0.0,2.61,656.0,0,2.61,last_price_fallback
2026-06-29,call,302.5,0.0,0.0,1.8,330.0,0,1.8,last_price_fallback
2026-06-29,call,305.0,0.0,0.0,1.17,875.0,0,1.17,last_price_fallback
2026-06-29,call,307.5,0.0,0.0,0.74,276.0,0,0.74,last_price_fallback
2026-06-29,call,310.0,0.0,0.0,0.53,418.0,0,0.53,last_price_fallback
2026-06-29,call,312.5,0.0,0.0,0.3,209.0,0,0.3,last_price_fallback
2026-06-29,call,315.0,0.0,0.0,0.19,157.0,0,0.19,last_price_fallback
2026-06-29,call,317.5,0.0,0.0,0.14,141.0,0,0.14,last_price_fallback
2026-06-29,call,320.0,0.0,0.0,0.06,142.0,0,0.06,last_price_fallback
2026-06-29,call,322.5,0.0,0.0,0.07,8.0,0,0.07,last_price_fallback
2026-06-29,call,325.0,0.0,0.0,0.07,5.0,0,0.07,last_price_fallback
2026-06-29,call,327.5,0.0,0.0,0.04,12.0,0,0.04,last_price_fallback
2026-06-29,call,330.0,0.0,0.0,0.03,50.0,0,0.03,last_price_fallback
2026-06-29,call,335.0,0.0,0.0,0.07,12.0,0,0.07,last_price_fallback
2026-06-29,call,340.0,0.0,0.0,0.06,1.0,0,0.06,last_price_fallback
2026-06-29,put,210.0,0.0,0.0,0.01,2.0,0,0.01,last_price_fallback
